MODEL SA230P OPTIONS CH1,MEA,EXC,DGT,CST SERIAL AQ00071865
DRIVER 3.9.20621.38
FIRMWARE Stage1 Version 3.7.393.0, FPGA Firmware Version 3.7.393.70110/AVG.CST.DGT/SFIR, FE CPLD 1/0.4.0.0
IO ControlIO1 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,In-AccumulationEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO2 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AcquisitionActive,In-TriggerEnable,Out-Software,In-Software,In-EnableFirstTrigger,In-StateMonitoring
IO ControlIO3 CURRENT Disabled AVAILABLE Disabled,Out-LowLevel,Out-HighLevel,Out-AnalyzerArmed,Out-Software,In-Software,In-EnableFirstTrigger
GATE_CAPABILITY ControlIO2 (does not prove first-edge timing or CST operation)
SETUP_APPLIED CST=Triggered gate=ControlIO2 signal=In-TriggerEnable samples=6150016 rate=1e9 threshold_50ohm_V=1
ARMED: waiting for hardware-qualified edges; DIAGNOSTIC ONLY, WAVEFORMS NOT SAVED
record,index,first_sample_s,interval_s,host_elapsed_s,samples,firstElement
WAVE_PREVIEW stride=64 raw_min=-32768 raw_max=-6433 rises=6 approx_frequency_Hz=1000.06400409626 (raw units, not calibrated amplitude; 0 means insufficient crossings)
177,176,3.036583552,0.006828004,1.2060992,6150016,8
178,177,3.04341156,0.006828008,1.2129367,6150016,8
179,178,3.050239564,0.006828004,1.2198085,6150016,8
180,179,3.057067568,0.006828004,1.226564,6150016,8
181,180,3.063895572,0.006828004,1.2334206,6150016,8
182,181,3.07072358,0.006828008,1.2402317,6150016,8
183,182,3.077551584,0.006828004,1.2471063,6150016,8
184,183,3.084379588,0.006828004,1.2539225,6150016,8
185,184,3.091208596,0.006829008,1.2607462,6150016,8
186,185,3.0980366,0.006828004,1.2675599,6150016,8
187,186,3.104864604,0.006828004,1.27437,6150016,8
188,187,3.111692608,0.006828004,1.2812315,6150016,8
189,188,3.118520616,0.006828008,1.2880677,6150016,8
190,189,3.12534862,0.006828004,1.2948559,6150016,8
191,190,3.132176624,0.006828004,1.3017179,6150016,8
192,191,3.139004628,0.006828004,1.3085092,6150016,8
193,192,3.145832636,0.006828008,1.3153677,6150016,8
194,193,3.15266064,0.006828004,1.3221667,6150016,8
195,194,3.159488644,0.006828004,1.3289928,6150016,8
196,195,3.166316648,0.006828004,1.335884,6150016,8
197,196,3.173144656,0.006828008,1.3426841,6150016,8
198,197,3.17997266,0.006828004,1.3494595,6150016,8
199,198,3.186800664,0.006828004,1.356328,6150016,8
200,199,3.193628668,0.006828004,1.3633161,6150016,8
201,200,3.200456676,0.006828008,1.3699914,6150016,8
202,201,3.20728468,0.006828004,1.3768586,6150016,8
203,202,3.214113684,0.006829004,1.383664,6150016,8
204,203,3.220941688,0.006828004,1.3904411,6150016,8
205,204,3.227769696,0.006828008,1.3973497,6150016,8
206,205,3.2345977,0.006828004,1.4041069,6150016,8
207,206,3.241425704,0.006828004,1.4109617,6150016,8
208,207,3.248253708,0.006828004,1.4177532,6150016,8
